UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,no_rand
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,8991
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,6786
47,M14906,M,298.7,309,1843,25.8,130,0,0,0,0,0,0,175
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,2687
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,3064
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,8917
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,9441
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,5827
53,H29466,H,298.8,309,1497,43.8,147,0,0,0,0,0,0,5115
54,L47233,L,298.7,309,1565,35.1,152,0,0,0,0,0,0,5592
55,L47234,L,298.7,309,1691,30.1,154,0,0,0,0,0,0,7480
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,3215
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,2022
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,5625
59,M14918,M,298.8,309,1661,29.5,162,0,0,0,0,0,0,1788
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,2557
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,6291
62,M14921,M,298.8,309,1592,38.2,169,0,0,0,0,0,0,3495
63,L47242,L,298.8,309,1829,22.9,172,0,0,0,0,0,0,5518
64,M14923,M,298.9,309,1812,25.9,174,0,0,0,0,0,0,4384
65,L47244,L,299,309.1,1523,38.6,177,0,0,0,0,0,0,6575
66,L47245,L,299,309.1,1394,45.1,179,0,0,0,0,0,0,6870
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,4029
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,6475
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,2079
70,L47249,L,298.9,309,1410,65.7,191,1,0,0,1,1,0,3950
71,M14930,M,298.9,309,1924,22.6,193,0,0,0,0,0,0,7222
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,2465
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,9236
74,L47253,L,299,309.1,1592,35,200,0,0,0,0,0,0,8925
75,L47254,L,298.9,309,1601,32.3,202,0,0,0,0,0,0,7238
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1180
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,8821
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,8144
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,3556
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1610
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,6047
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,9111
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,5105
84,L47263,L,299,309,1469,40.1,13,0,0,0,0,0,0,4002
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,6687
86,M14945,M,299,309,1804,26.8,17,0,0,0,0,0,0,770
87,H29500,H,299,309,1436,43.9,20,0,0,0,0,0,0,5038
88,L47267,L,299,309,1544,31.8,25,0,0,0,0,0,0,841
89,M14948,M,299,309,1419,45.2,27,0,0,0,0,0,0,6518
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,5233
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1098
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,9481
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,1141
94,L47273,L,299.1,309,1450,43,40,0,0,0,0,0,0,8832
95,L47274,L,299,308.9,1622,31.9,42,0,0,0,0,0,0,6283
96,M14955,M,299,309,1351,52.2,44,0,0,0,0,0,0,9273
97,M14956,M,299,309,1575,35.3,47,0,0,0,0,0,0,2207
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,2565
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,3187
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,3815
101,L47280,L,298.8,308.9,1852,25,57,0,0,0,0,0,0,7221
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,7981
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,2355
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,1543
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,3055
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,2177
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,2724
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,7932
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,5643
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,1314
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9406
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,6959
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,3615
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,47
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,3955
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,8663
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1826
118,L47297,L,298.8,308.6,1599,33,101,0,0,0,0,0,0,7563
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,6069
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9519
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9520
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,7728
123,L47302,L,299,308.8,1310,50.7,112,0,0,0,0,0,0,6531
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,430
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,2785
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,863
127,L47306,L,299,308.6,1329,60.5,120,0,0,0,0,0,0,6450
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,1343
129,L47308,L,299,308.6,1587,38.6,124,0,0,0,0,0,0,6360
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,920
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,4109
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,7194
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,4195
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,636
135,L47314,L,298.8,308.4,1369,53,138,0,0,0,0,0,0,2387
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,8210
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,4171
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,1421
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9900
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,1462
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,5694
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,8166
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,6060
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,6772
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,4343
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,6564
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9728
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,2178
149,M15008,M,298.3,308.3,1379,48,181,0,0,0,0,0,0,1497
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,4088
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,4511
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,2535
153,M15012,M,298.4,308.2,1584,41,191,0,0,0,0,0,0,6986
154,L47333,L,298.4,308.2,1850,27,194,0,0,0,0,0,0,9406
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,7850
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,2843
157,M15016,M,298.4,308.1,1495,46,203,0,0,0,0,0,0,8075
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9835
159,M15018,M,298.4,308.2,1499,40,211,0,0,0,0,0,0,3705
160,L47339,L,298.4,308.2,1471,47,214,0,0,0,0,0,0,2786
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,7807
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,7926
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,2731
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,217
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,7265
166,L47345,L,298.5,308.4,1733,26,8,0,0,0,0,0,0,6792
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,5661
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,8303
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9970
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,4905
171,M15030,M,298.4,308.2,1610,35,24,0,0,0,0,0,0,1178
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,7838
173,M15032,M,298.1,308,1924,20.8,29,0,0,0,0,0,0,679
174,M15033,M,298.2,308,1591,33.7,32,0,0,0,0,0,0,1674
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,4847
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,8109
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,5102
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,2881
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,754
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,5136
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,7191
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,9969
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,5235
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,5046
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,262
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,2147
187,L47366,L,298.1,308.3,1301,56,63,0,0,0,0,0,0,2204
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,8327
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,6158
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,7293
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,9894
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,5165
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,2225
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,6725
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,9368
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,9453
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,8203
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,5408
199,L47378,L,298.4,308.7,1588,35,99,0,0,0,0,0,0,9882
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,7324
201,L47380,L,298.4,308.6,1609,35,103,0,0,0,0,0,0,4256
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,1035
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,2067
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,9865
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,7268
206,M15065,M,298.5,308.6,1344,53,114,0,0,0,0,0,0,627
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,7798
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,6060
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,8710
210,L47389,L,298.4,308.6,1477,44,124,0,0,0,0,0,0,8176
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,1230
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,8529
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,6445
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,4005
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,6793
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,5584
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,6751
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,7942
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,4590
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,495
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,5239
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,8423
223,L47402,L,298.4,308.6,1304,45,158,0,0,0,0,0,0,4872
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,9262
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,8174
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,367
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,4577
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,2967
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,4063
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,7931
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,2467
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,4788
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,6826
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,3515
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,9429
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,4878
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,2841
238,M15097,M,298,308.1,1552,36.6,190,0,0,0,0,0,0,8526
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,7617
240,L47419,L,298,308.2,1611,30.6,195,0,0,0,0,0,0,1125
241,M15100,M,298,308.1,1339,51.6,197,0,0,0,0,0,0,8569
242,L47421,L,298,308.1,1777,24.3,200,0,0,0,0,0,0,6039
243,L47422,L,298,308.2,1348,58.8,202,1,0,0,0,1,0,1317
244,L47423,L,298,308.2,1442,44.1,204,0,0,0,0,0,0,1756
245,M15104,M,298,308.2,1395,49.1,206,0,0,0,0,0,0,4908
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,5833
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,2895
248,L47427,L,298,308.2,1469,45.5,214,0,0,0,0,0,0,6918
249,L47428,L,298,308.3,1362,56.8,216,1,0,0,0,1,0,7087
250,L47429,L,298,308.3,1405,56.2,218,1,0,0,0,1,0,1185
251,L47430,L,298,308.3,1662,32.7,0,0,0,0,0,0,0,747
252,M15111,M,298,308.2,1466,42.6,2,0,0,0,0,0,0,3100
253,L47432,L,298,308.2,1620,35.8,5,0,0,0,0,0,0,8769
254,L47433,L,298,308.2,1357,48.2,7,0,0,0,0,0,0,184
255,L47434,L,298,308.2,1514,37.9,9,0,0,0,0,0,0,289
256,L47435,L,298,308.2,1489,40.4,11,0,0,0,0,0,0,3237
257,L47436,L,298.1,308.3,1331,63,13,0,0,0,0,0,0,3861
258,L47437,L,298,308,1615,29.5,15,0,0,0,0,0,0,9233
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,2071
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,9166
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,8064
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,3286
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,8845
264,M15123,M,298,308.1,1587,32.3,30,0,0,0,0,0,0,2027
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,4195
266,L47445,L,298,308.1,1454,37.1,35,0,0,0,0,0,0,6522
267,H29680,H,298,308.1,1440,43.7,37,0,0,0,0,0,0,2166
268,L47447,L,297.9,308,1954,21.1,42,0,0,0,0,0,0,91
269,H29682,H,297.9,308,1800,24.8,44,0,0,0,0,0,0,1271
270,L47449,L,298,308,1524,37,49,0,0,0,0,0,0,8744
271,H29684,H,298,308,1520,39.6,51,0,0,0,0,0,0,7325
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,2733
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,2004
274,L47453,L,298.1,308,1426,46,61,0,0,0,0,0,0,4693
275,L47454,L,298.1,308,1652,28.5,63,0,0,0,0,0,0,5660
276,L47455,L,298,308,1401,54.7,65,0,0,0,0,0,0,4634
277,M15136,M,298,307.9,1750,26.6,67,0,0,0,0,0,0,9769
278,H29691,H,298,308,1479,50.7,70,0,0,0,0,0,0,1558
279,M15138,M,298,308,1620,29.4,75,0,0,0,0,0,0,3606
280,L47459,L,298,308.1,1819,23.4,78,0,0,0,0,0,0,6615
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,132
282,L47461,L,298.1,308,1626,36.5,83,0,0,0,0,0,0,789
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,64
284,L47463,L,298.2,308.2,1469,43,88,0,0,0,0,0,0,5276
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,7301
286,L47465,L,298.2,308.3,1568,36,92,0,0,0,0,0,0,8794
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,989
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,7140
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,7134
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,8375
291,L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,8676
292,L47471,L,298,308.3,1473,42.6,107,0,0,0,0,0,0,8682
293,L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,4918
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,9580
295,M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,9280
296,M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,2038
297,L47476,L,298,308.5,1395,46.2,122,0,0,0,0,0,0,1642
298,L47477,L,298,308.5,1713,25.3,124,0,0,0,0,0,0,5475
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,8850
300,M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,3507
301,L47480,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,8176
302,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,6738
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,3123
304,M15163,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,4600
305,L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,2721
306,L47485,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,7685
307,L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,485
308,M15167,M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,8987
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,1255
310,M15169,M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,2214
311,H29724,H,298,308.6,1526,41.8,160,0,0,0,0,0,0,8504
312,M15171,M,298,308.6,1453,44.1,165,0,0,0,0,0,0,9988
313,L47492,L,297.9,308.6,1468,36,168,0,0,0,0,0,0,3590
314,L47493,L,298,308.6,1313,50.8,170,0,0,0,0,0,0,2840
315,M15174,M,297.9,308.5,1300,53,172,0,0,0,0,0,0,2636
316,L47495,L,297.9,308.4,1646,40.6,175,0,0,0,0,0,0,458
317,L47496,L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0,1965
318,L47497,L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,4580
319,L47498,L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,866
320,L47499,L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0,7304
321,H29734,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,3595
322,L47501,L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,9418
323,L47502,L,297.8,308.5,1448,40,192,0,0,0,0,0,0,8135
324,L47503,L,297.8,308.5,1561,46.3,194,0,0,0,0,0,0,4755
325,M15184,M,297.8,308.5,1488,41.9,196,0,0,0,0,0,0,9984
326,L47505,L,297.8,308.5,1699,27.8,199,0,0,0,0,0,0,8616
327,L47506,L,297.7,308.5,1501,41.4,201,0,0,0,0,0,0,6427
328,L47507,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0,2564
329,H29742,H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,4275
330,H29743,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,6109
331,M15190,M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0,2671
332,M15191,M,297.6,308.4,1391,51.9,218,0,0,0,0,0,0,4012
333,M15192,M,297.6,308.3,1538,40.2,0,0,0,0,0,0,0,2190
334,L47513,L,297.5,308.2,1647,31.3,3,0,0,0,0,0,0,6604
335,M15194,M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0,7887
336,L47515,L,297.4,308.1,1749,25.9,8,0,0,0,0,0,0,9539
337,M15196,M,297.6,308.2,1995,20.5,10,0,0,0,0,0,0,1339
338,L47517,L,297.6,308.3,1742,27.7,13,0,0,0,0,0,0,4161
339,L47518,L,297.5,308.2,1563,38.2,15,0,0,0,0,0,0,3042
340,M15199,M,297.5,308.2,1713,32.2,17,0,0,0,0,0,0,7437
341,L47520,L,297.4,308.1,1474,39.4,20,0,0,0,0,0,0,2856
342,M15201,M,297.4,308.2,1530,32.6,22,0,0,0,0,0,0,2052
343,L47522,L,297.4,308.2,1471,46.5,25,0,0,0,0,0,0,8225
344,L47523,L,297.5,308.3,1388,48.6,27,0,0,0,0,0,0,4118
345,M15204,M,297.5,308.2,2448,13.8,29,0,0,0,0,0,0,4005
346,L47525,L,297.5,308.3,1585,32.9,32,0,0,0,0,0,0,2163
347,M15206,M,297.5,308.3,1459,45.2,34,0,0,0,0,0,0,413
348,L47527,L,297.5,308.3,1544,40.8,37,0,0,0,0,0,0,6446
349,L47528,L,297.6,308.3,1617,31.7,39,0,0,0,0,0,0,6257
350,L47529,L,297.6,308.3,1595,34.3,41,0,0,0,0,0,0,2883
351,H29764,H,297.6,308.3,1400,44.3,43,0,0,0,0,0,0,7716
352,M15211,M,297.6,308.4,1611,31,48,0,0,0,0,0,0,9211
